-11.695	113.263	-0.369	148.566	40.672	-104.145
-10.561	116.796	1.118	121.702	39.629	-117.489
-9.392	117.287	2.337	95.842	38.453	-124.487
-8.218	115.141	3.296	72.369	37.207	-126.305
-7.066	110.859	4.020	52.100	35.943	-124.253
-5.956	104.977	4.542	35.356	34.699	-119.581
-4.905	98.008	4.896	22.092	33.502	-113.353
-3.924	90.409	5.117	12.020	32.367	-106.391
-3.019	82.562	5.237	4.732	31.302	-99.284
-2.193	74.772	5.285	-0.223	30.308	-92.409
-1.444	67.265	5.282	-3.285	29.383	-85.984
-0.771	60.203	5.250	-4.847	28.523	-80.107
-0.168	53.691	5.201	-5.248	27.721	-74.797
0.369	47.791	5.148	-4.769	26.972	-70.024
0.848	42.530	5.101	-3.635	26.271	-65.733
1.273	37.909	5.064	-2.025	25.613	-61.853
1.653	33.912	5.044	-0.076	24.994	-58.314
1.992	30.509	5.043	2.109	24.410	-55.046
2.298	27.666	5.064	4.450	23.859	-51.988
2.575	25.342	5.109	6.892	23.339	-49.083
2.828	23.496	5.178	9.395	22.848	-46.282
3.064	22.084	5.272	11.932	22.384	-43.541
3.285	21.068	5.391	14.486	21.949	-40.821
3.496	20.409	5.536	17.045	21.540	-38.087
3.700	20.072	5.707	19.605	21.159	-35.308
3.901	20.025	5.903	22.162	20.805	-32.453
4.101	20.239	6.125	24.714	20.480	-29.494
4.304	20.687	6.373	27.261	20.185	-26.401
4.511	21.345	6.645	29.799	19.921	-23.146
4.725	22.191	6.944	32.321	19.689	-19.699
4.947	23.205	7.267	34.819	19.492	-16.030
5.179	24.368	7.616	37.278	19.332	-12.109
5.423	25.660	7.989	39.677	19.210	-7.904
5.680	27.063	8.386	41.987	19.131	-3.386
5.951	28.557	8.806	44.171	19.097	1.478
6.237	30.120	9.249	46.181	19.112	6.713
6.538	31.728	9.711	47.959	19.179	12.344
6.856	33.353	10.191	49.433	19.303	18.390
7.189	34.962	10.686	50.519	19.487	24.859
7.539	36.519	11.191	51.116	19.736	31.748
7.905	37.981	11.703	51.113	20.054	39.036
8.285	39.295	12.215	50.385	20.444	46.683
8.679	40.405	12.719	48.798	20.912	54.618
9.083	41.245	13.208	46.210	21.458	62.742
9.496	41.742	13.670	42.485	22.086	70.912
9.914	41.817	14.095	37.493	22.796	78.947
10.332	41.384	14.471	31.131	23.586	86.618
10.747	40.358	14.782	23.330	24.454	93.649
11.151	38.653	15.016	14.076	25.391	99.725
11.537	36.193	15.157	3.428	26.389	104.499
11.900	32.913	15.191	-8.470	27.435	107.609
12.229	28.771	15.106	-21.372	28.512	108.704
12.517	23.751	14.892	-34.926	29.601	107.475
12.755	17.878	14.543	-48.679	30.676	103.688
12.934	11.215	14.055	-62.095	31.714	97.220
13.046	3.877	13.434	-74.587	32.687	88.093
13.085	-3.977	12.687	-85.561	33.569	76.494
13.045	-12.144	11.831	-94.471	34.335	62.774
12.924	-20.385	10.885	-100.876	34.963	47.439
12.720	-28.442	9.875	-104.486	35.438	31.108
12.435	-36.054	8.829	-105.194	35.750	14.460
12.074	-42.975	7.776	-103.092	35.894	-1.826
11.644	-48.993	6.744	-98.451	35.876	-17.138
11.153	-53.943	5.759	-91.690	35.704	-30.980
10.613	-57.722	4.841	-83.320	35.394	-43.004
10.036	-60.284	4.007	-73.894	34.964	-53.023
9.432	-61.647	3.267	-63.946	34.433	-61.003
8.815	-61.877	2.627	-53.953	33.823	-67.033
8.196	-61.084	2.087	-44.307	33.152	-71.297
7.584	-59.404	1.644	-35.301	32.438	-74.034
6.990	-56.992	1.290	-27.129	31.697	-75.505
6.419	-54.002	1.019	-19.897	30.941	-75.969
5.879	-50.588	0.820	-13.638	30.180	-75.663
5.372	-46.890	0.683	-8.328	29.423	-74.792
4.903	-43.030	0.600	-3.906	28.674	-73.524
4.472	-39.113	0.561	-0.285	27.938	-71.995
4.081	-35.227	0.558	2.634	27.218	-70.304
3.728	-31.437	0.584	4.955	26.514	-68.526
3.413	-27.794	0.634	6.779	25.828	-66.712
3.135	-24.333	0.702	8.201	25.160	-64.894
2.891	-21.077	0.784	9.305	24.511	-63.096
2.680	-18.035	0.877	10.169	23.879	-61.327
2.500	-15.212	0.979	10.858	23.265	-59.594
2.348	-12.602	1.087	11.429	22.669	-57.897
2.221	-10.197	1.202	11.929	22.089	-56.235
2.119	-7.982	1.321	12.399	21.526	-54.603
2.040	-5.942	1.445	12.873	20.980	-52.998
1.980	-4.059	1.574	13.377	20.449	-51.414
1.939	-2.313	1.708	13.934	19.934	-49.846
1.916	-0.687	1.848	14.564	19.436	-48.288
1.909	0.840	1.993	15.282	18.952	-46.733
1.918	2.285	2.146	16.102	18.484	-45.176
1.941	3.668	2.307	17.037	18.032	-43.608
1.977	5.007	2.478	18.095	17.596	-42.022
2.027	6.317	2.659	19.288	17.175	-40.409
2.091	7.615	2.852	20.625	16.771	-38.758
2.167	8.918	3.059	22.116	16.383	-37.059
2.256	10.239	3.280	23.768	16.012	-35.297
2.359	11.593	3.518	25.592	15.658	-33.457
2.475	12.994	3.774	27.597	15.323	-31.522
2.605	14.456	4.050	29.792	15.008	-29.470
2.750	15.991	4.349	32.185	14.713	-27.278
2.910	17.612	4.671	34.784	14.440	-24.916
3.086	19.331	5.019	37.596	14.190	-22.353
3.279	21.159	5.395	40.626	13.967	-19.551
3.491	23.108	5.802	43.875	13.771	-16.466
3.723	25.187	6.241	47.340	13.606	-13.050
3.975	27.404	6.715	51.015	13.475	-9.245
4.249	29.768	7.226	54.882	13.383	-4.986
